,Unnamed: 0,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,superBERT,enga,cvs
742,742,Stephanie I. Bice,House,Republican,OK,5.0,2022-02-10 21:46:33+00:00,"Proud to sign on to @RepBryanSteil’s letter that urges the Biden Admin to permanently classify fentanyl as a Schedule 1 drug.

This lethal drug is killing thousands of Americans. We must put a stop to this heartbreaking crisis. 

Read more: fxn.ws/3GHlYA4?fbclid…",8,0,4,0,repbice,Twitter,https://twitter.com/RepBice/status/1491891364556115975,,['https://fxn.ws/3GHlYA4?fbclid=IwAR3y3jxxMItbWU7P6rL6Iy32NPfrReGG1VU27KGshHZJkKdM47gErBByHwM'],proud sign letter urges biden admin permanently classify fentanyl schedule drugthis lethal drug killing thousands americans must put stop heartbreaking crisis read fxnws3ghlya4fbclid,"['proud', 'sign', 'letter', 'urges', 'biden', 'admin', 'permanently', 'classify', 'fentanyl', 'schedule', 'drugthis', 'lethal', 'drug', 'killing', 'thousands', 'americans', 'must', 'put', 'stop', 'heartbreaking', 'crisis', 'read', 'fxnws3ghlya4fbclid']",14,12,False
752,752,Glenn Grothman,House,Republican,WI,6.0,2022-02-10 21:41:47+00:00,"Fentanyl was responsible for 79% of overdose deaths in Milwaukee County last year, and is devastating families and communities throughout #WI. I'm extremely proud to join @RepBryanSteil on this letter demanding @POTUS take action to stop the fentanyl epidemic. twitter.com/RepBryanSteil/…",7,1,3,1,repgrothman,Twitter,https://twitter.com/RepGrothman/status/1491890163093577732,,['https://twitter.com/RepBryanSteil/status/1491821230751731712'],fentanyl responsible overdose deaths milwaukee county last year devastating families communities throughout wi im extremely proud join letter demanding take action stop fentanyl epidemic twittercomrepbryansteil,"['fentanyl', 'responsible', 'overdose', 'deaths', 'milwaukee', 'county', 'last', 'year', 'devastating', 'families', 'communities', 'throughout', 'wi', 'im', 'extremely', 'proud', 'join', 'letter', 'demanding', 'take', 'action', 'stop', 'fentanyl', 'epidemic', 'twittercomrepbryansteil']",14,12,False
808,808,Dan Bishop,House,Republican,NC,9.0,2022-02-10 21:12:15+00:00,"Biden's open-border policy has allowed deadly fentanyl to flow right into our communities. And he's done nothing to address that. 

Proud to stand with @RepBryanSteil and my Republican colleagues in demanding action. 
foxnews.com/politics/repub…",8,4,10,1,repdanbishop,Twitter,https://twitter.com/RepDanBishop/status/1491882731705442315,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],bidens openborder policy allowed deadly fentanyl flow right communities hes done nothing address proud stand republican colleagues demanding action foxnewscompoliticsrepub,"['bidens', 'openborder', 'policy', 'allowed', 'deadly', 'fentanyl', 'flow', 'right', 'communities', 'hes', 'done', 'nothing', 'address', 'proud', 'stand', 'republican', 'colleagues', 'demanding', 'action', 'foxnewscompoliticsrepub']",14,23,False
817,817,Mike Gallagher,House,Republican,WI,8.0,2022-02-10 21:07:01+00:00,"Rep. Gallagher joined @RepBryanSteil and more than 100 other Republicans in calling on President Biden to take immediate action on fentanyl pouring in from China and across the southern border. 

Read more here: foxnews.com/politics/repub…",12,7,18,4,repgallagher,Twitter,https://twitter.com/RepGallagher/status/1491881413636935701,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],rep gallagher joined republicans calling president biden take immediate action fentanyl pouring china across southern border read foxnewscompoliticsrepub,"['rep', 'gallagher', 'joined', 'republicans', 'calling', 'president', 'biden', 'take', 'immediate', 'action', 'fentanyl', 'pouring', 'china', 'across', 'southern', 'border', 'read', 'foxnewscompoliticsrepub']",14,41,False
853,853,Alexander Mooney,House,Republican,WV,2.0,2022-02-10 20:45:14+00:00,"Fentanyl is also one of the most common illegal substances confiscated from illegal immigrants crossing the southern border. U.S. Customs and Border Protection (CBP) reported a 1,066% increase in fentanyl seized at eight Southern Texas ports during Fiscal Year 2021.",2,0,2,0,repalexmooney,Twitter,https://twitter.com/RepAlexMooney/status/1491875932147228674,,,fentanyl also one common illegal substances confiscated illegal immigrants crossing southern border us customs border protection cbp reported increase fentanyl seized eight southern texas ports fiscal year,"['fentanyl', 'also', 'one', 'common', 'illegal', 'substances', 'confiscated', 'illegal', 'immigrants', 'crossing', 'southern', 'border', 'us', 'customs', 'border', 'protection', 'cbp', 'reported', 'increase', 'fentanyl', 'seized', 'eight', 'southern', 'texas', 'ports', 'fiscal', 'year']",12,4,False
854,854,Alexander Mooney,House,Republican,WV,2.0,2022-02-10 20:45:14+00:00,"Joined @RepBryanSteil on a letter to President Biden calling for fentanyl-related drugs to be permanently labeled as schedule one substances. The administration must take action to stop illegal fentanyl from China making its way across the southern border.
foxnews.com/politics/repub…",3,3,4,2,repalexmooney,Twitter,https://twitter.com/RepAlexMooney/status/1491875929953550342,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],joined letter president biden calling fentanylrelated drugs permanently labeled schedule one substances administration must take action stop illegal fentanyl china making way across southern borderfoxnewscompoliticsrepub,"['joined', 'letter', 'president', 'biden', 'calling', 'fentanylrelated', 'drugs', 'permanently', 'labeled', 'schedule', 'one', 'substances', 'administration', 'must', 'take', 'action', 'stop', 'illegal', 'fentanyl', 'china', 'making', 'way', 'across', 'southern', 'borderfoxnewscompoliticsrepub']",14,12,False
922,922,Elise M. Stefanik,House,Republican,NY,21.0,2022-02-10 20:11:07+00:00,"🚨Joe Biden’s open border policies have allowed criminal drug networks to flood the U.S. more easily with fentanyl.
 
President Biden must take immediate and permanent action to STOP the flow of this lethal substance into our communities. https://t.co/wCOSB0mXMW",46,26,116,4,repstefanik,Twitter,https://twitter.com/RepStefanik/status/1491867346616659968,https://pbs.twimg.com/media/FLQtcdEXoAI7OX6?format=jpg&name=small,,joe bidens open border policies allowed criminal drug networks flood us easily fentanylpresident biden must take immediate permanent action stop flow lethal substance communities,"['joe', 'bidens', 'open', 'border', 'policies', 'allowed', 'criminal', 'drug', 'networks', 'flood', 'us', 'easily', 'fentanylpresident', 'biden', 'must', 'take', 'immediate', 'permanent', 'action', 'stop', 'flow', 'lethal', 'substance', 'communities']",14,192,False
930,930,Nicole Malliotakis,House,Republican,NY,11.0,2022-02-10 20:07:56+00:00,"Fentanyl is the leading cause of death among ages 18-45. That's why I’m cosponsoring 3 bills that crack down on fentanyl &amp; hold drug traffickers accountable. Without consequences &amp; secure borders, drug traffickers will only continue to prey on Americans.

malliotakis.house.gov/media/press-re…",4,16,47,0,repmalliotakis,Twitter,https://twitter.com/RepMalliotakis/status/1491866543487131654,,['https://malliotakis.house.gov/media/press-releases/malliotakis-cosponsors-bills-cracking-down-fentanyl-drug-traffickers'],fentanyl leading cause death among ages thats im cosponsoring bills crack fentanyl hold drug traffickers accountable without consequences secure borders drug traffickers continue prey americansmalliotakishousegovmediapressre,"['fentanyl', 'leading', 'cause', 'death', 'among', 'ages', 'thats', 'im', 'cosponsoring', 'bills', 'crack', 'fentanyl', 'hold', 'drug', 'traffickers', 'accountable', 'without', 'consequences', 'secure', 'borders', 'drug', 'traffickers', 'continue', 'prey', 'americansmalliotakishousegovmediapressre']",14,67,False
1032,1032,Young Kim,House,Republican,CA,39.0,2022-02-10 19:15:00+00:00,"Fentanyl kills more Americans age 18-45 than car accidents, suicide or COVID-19.

I joined @RepBryanSteil to call on the Biden administration to support a permanent extension of fentanyl's Schedule I status &amp; stop the flow of fentanyl in our communities.
foxnews.com/politics/repub…",6,2,13,1,repyoungkim,Twitter,https://twitter.com/RepYoungKim/status/1491853222583144455,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],fentanyl kills americans age car accidents suicide covid19i joined call biden administration support permanent extension fentanyls schedule status stop flow fentanyl communitiesfoxnewscompoliticsrepub,"['fentanyl', 'kills', 'americans', 'age', 'car', 'accidents', 'suicide', 'covid19i', 'joined', 'call', 'biden', 'administration', 'support', 'permanent', 'extension', 'fentanyls', 'schedule', 'status', 'stop', 'flow', 'fentanyl', 'communitiesfoxnewscompoliticsrepub']",14,22,False
1040,1040,Ted Budd,House,Republican,NC,13.0,2022-02-10 19:09:08+00:00,"We have to give federal and state governments more options to fight the spread of deadly fentanyl.

Glad to join @RepBryanSteil to demand President Biden take action. foxnews.com/politics/repub…",6,5,9,2,reptedbudd,Twitter,https://twitter.com/RepTedBudd/status/1491851748948029447,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],give federal state governments options fight spread deadly fentanylglad join demand president biden take action foxnewscompoliticsrepub,"['give', 'federal', 'state', 'governments', 'options', 'fight', 'spread', 'deadly', 'fentanylglad', 'join', 'demand', 'president', 'biden', 'take', 'action', 'foxnewscompoliticsrepub']",14,22,False
