,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,topic,enga,engaSum
220,Tim Scott,Senate,Republican,SC,,2021-05-19 13:56:17.000000,"This report confirms what South Carolinians already know: Opportunity abounds in the Palmetto State! I'm prouder each day to call it my home.

THESTATE.COM
South Carolina has two of nation’s best cities for new college grads, report says",72,73,1451,0,SenatorTimScott,Facebook,https://facebook.com/SenatorTimScott/posts/4313429292022503,,https://www.thestate.com/news/state/south-carolina/article251501618.html,report confirms south carolinians already know opportunity abounds palmetto state im prouder day call homethestatecomsouth carolina two nations best cities new college grads report says,"['report', 'confirms', 'south', 'carolinians', 'already', 'know', 'opportunity', 'abounds', 'palmetto', 'state', 'im', 'prouder', 'day', 'call', 'homethestatecomsouth', 'carolina', 'two', 'nations', 'best', 'cities', 'new', 'college', 'grads', 'report', 'says']",10,1596,3339
198,Marsha Blackburn,Senate,Republican,TN,,2021-05-19 14:58:59.000000,We #StandWithIsrael,138,0,1401,0,marshablackburn,Facebook,https://facebook.com/marshablackburn/posts/10159198717738396,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/188300035_10159198717678396_2175432479219633439_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=110474&_nc_ohc=VyWN6P2f7ZUAX9KtuSg&_nc_ht=scontent-iad3-2.xx&tp=14&oh=fd0b32977b473ee5de417f931bc4fd1d&oe=60CD093B,,standwithisrael,['standwithisrael'],25,1539,70271
124,Elizabeth Warren,Senate,Democrat,MA,,2021-05-19 21:05:59.000000,"The horrors of the Tulsa Race Massacre were covered up for decades. Few survivors are alive to remember those 18 hours of state-sanctioned terror against Black Americans. Congress should pass my resolution with Congresswoman Sheila Jackson Lee to mark the 100th anniversary later this month.

The Recount
18 hrs ·

“I hear the screams. I have lived through the massacre everyday. Our country may forget this history, but I cannot.”

— 107-year-old Viola Fletcher, the oldest living survivor of the Tulsa Race Massacre, testifies during a hearing about possible compensation for victims.",54,525,931,0,senatorelizabethwarren,Facebook,https://facebook.com/senatorelizabethwarren/posts/1847804508715367,,,horrors tulsa race massacre covered decades survivors alive remember hours statesanctioned terror black americans congress pass resolution congresswoman sheila jackson lee mark 100th anniversary later monththe recount18 hrs hear screams lived massacre everyday country may forget history cannot 107yearold viola fletcher oldest living survivor tulsa race massacre testifies hearing possible compensation victims,"['horrors', 'tulsa', 'race', 'massacre', 'covered', 'decades', 'survivors', 'alive', 'remember', 'hours', 'statesanctioned', 'terror', 'black', 'americans', 'congress', 'pass', 'resolution', 'congresswoman', 'sheila', 'jackson', 'lee', 'mark', '100th', 'anniversary', 'later', 'monththe', 'recount18', 'hrs', 'hear', 'screams', 'lived', 'massacre', 'everyday', 'country', 'may', 'forget', 'history', 'cannot', '107yearold', 'viola', 'fletcher', 'oldest', 'living', 'survivor', 'tulsa', 'race', 'massacre', 'testifies', 'hearing', 'possible', 'compensation', 'victims']",08,1510,2547
205,Rand Paul,Senate,Republican,KY,,2021-05-19 14:42:44.000000,"It was great being in Adair County speaking to Kentuckians! Thanks for having me. https://www.youtube.com/watch?v=ApXa5a2DC1Q

YOUTUBE.COM
Dr. Paul Joins Adair County, Kentucky to Deliver his Washington Update",43,37,1375,0,SenatorRandPaul,Facebook,https://facebook.com/SenatorRandPaul/posts/4293781070674663,,https://www.youtube.com/watch?v=ApXa5a2DC1Q,great adair county speaking kentuckians thanks youtubecomdr paul joins adair county kentucky deliver washington update,"['great', 'adair', 'county', 'speaking', 'kentuckians', 'thanks', 'youtubecomdr', 'paul', 'joins', 'adair', 'county', 'kentucky', 'deliver', 'washington', 'update']",13,1455,5024
181,Tim Kaine,Senate,Democrat,VA,,2021-05-19 15:45:41.000000,"Great news – the State Department is expanding the ability of American citizens and couples to transmit U.S. citizenship to their children born abroad through assisted reproductive technology. In August of 2020, I pressed the Trump Administration on its cruel policy denying children in these families – often LGBTQ+ families – the full rights and privileges of U.S. citizenship. I am relieved to see the Biden Administration make this change.

NPR.ORG
U.S. Ends Policy Of Denying Citizenship To Children Born Via IVF Or Surrogacy",65,102,1276,0,SenatorKaine,Facebook,https://facebook.com/SenatorKaine/posts/4201870789861982,,https://www.npr.org/2021/05/19/998143097/u-s-ends-policy-denying-citizenship-to-children-born-via-in-vitro-surrogacy,great news state department expanding ability american citizens couples transmit us citizenship children born abroad assisted reproductive technology august pressed trump administration cruel policy denying children families often lgbtq families full rights privileges us citizenship relieved see biden administration make changenprorgus ends policy denying citizenship children born via ivf surrogacy,"['great', 'news', 'state', 'department', 'expanding', 'ability', 'american', 'citizens', 'couples', 'transmit', 'us', 'citizenship', 'children', 'born', 'abroad', 'assisted', 'reproductive', 'technology', 'august', 'pressed', 'trump', 'administration', 'cruel', 'policy', 'denying', 'children', 'families', 'often', 'lgbtq', 'families', 'full', 'rights', 'privileges', 'us', 'citizenship', 'relieved', 'see', 'biden', 'administration', 'make', 'changenprorgus', 'ends', 'policy', 'denying', 'citizenship', 'children', 'born', 'via', 'ivf', 'surrogacy']",22,1443,31386
48,Stacey E. Plaskett,House,Democrat,VI,0,2021-05-19 19:29:28+00:00,....some folk are afraid of the truth... twitter.com/therecount/sta…,34,152,1113,8,staceyplaskett,Twitter,https://twitter.com/StaceyPlaskett/status/1395099304528949252,,['https://twitter.com/therecount/status/1395094577560838147'],folk afraid truth twittercomtherecountsta,"['folk', 'afraid', 'truth', 'twittercomtherecountsta']",06,1307,18064
142,Marsha Blackburn,Senate,Republican,TN,,2021-05-19 18:05:15.000000,"It is absolutely unacceptable if the Biden Administration is facilitating a mass migration under cover of darkness without any input or oversight from Tennesseans and the affected communities.

WRCBTV.COM
FIRST ON 3: Late-night flights carrying migrant children arriving in Chattanooga",361,657,279,0,marshablackburn,Facebook,https://facebook.com/marshablackburn/posts/10159199095578396,,https://www.wrcbtv.com/story/43920052/first-on-3-latenight-flights-carrying-migrant-children-arriving-in-chattanooga,absolutely unacceptable biden administration facilitating mass migration cover darkness without input oversight tennesseans affected communitieswrcbtvcomfirst latenight flights carrying migrant children arriving chattanooga,"['absolutely', 'unacceptable', 'biden', 'administration', 'facilitating', 'mass', 'migration', 'cover', 'darkness', 'without', 'input', 'oversight', 'tennesseans', 'affected', 'communitieswrcbtvcomfirst', 'latenight', 'flights', 'carrying', 'migrant', 'children', 'arriving', 'chattanooga']",01,1297,13764
273,Marsha Blackburn,Senate,Republican,TN,,2021-05-19 10:36:21.000000,President Biden has fumbled crisis after crisis and we are just over 100 days into the administration.,271,0,1019,0,marshablackburn,Facebook,https://facebook.com/marshablackburn/posts/10159198234038396,,,president biden fumbled crisis crisis days administration,"['president', 'biden', 'fumbled', 'crisis', 'crisis', 'days', 'administration']",01,1290,13764
169,Charles E. Schumer,Senate,Democrat,NY,,2021-05-19 16:16:34.000000,"Congress has just sent a clear message to our AAPI community:

We will not tolerate violence and bigotry against you.

I was proud to work with Senator Mazie K. Hirono and Rep. Grace Meng to pass the COVID-19 Hate Crimes Act to #StopAsianHate.

Next stop: President Biden's desk.",97,0,1157,0,senschumer,Facebook,https://facebook.com/senschumer/posts/10159676036774407,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186474649_10159676018824407_285390336297631487_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=L5PkGwVEJ64AX-oUoh8&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b831ee8e4b9f62754db30d6dd8a79b0c&oe=60CC28C1,,congress sent clear message aapi communitywe tolerate violence bigotry youi proud work senator mazie k hirono rep grace meng pass covid19 hate crimes act stopasianhatenext stop president bidens desk,"['congress', 'sent', 'clear', 'message', 'aapi', 'communitywe', 'tolerate', 'violence', 'bigotry', 'youi', 'proud', 'work', 'senator', 'mazie', 'k', 'hirono', 'rep', 'grace', 'meng', 'pass', 'covid19', 'hate', 'crimes', 'act', 'stopasianhatenext', 'stop', 'president', 'bidens', 'desk']",24,1254,7618
231,Charles E. Schumer,Senate,Democrat,NY,,2021-05-19 13:24:51.000000,"In Michigan, President Biden declared that “the future of the auto industry is electric.”

He’s absolutely right.

My Clean Cars for America initiative would accelerate our transition to all-clean vehicles.

I’m proud it's at the heart of President Biden's #AmericanJobsPlan.",219,0,999,0,senschumer,Facebook,https://facebook.com/senschumer/posts/10159675608464407,,,michigan president biden declared future auto industry electriches absolutely rightmy clean cars america initiative would accelerate transition allclean vehiclesim proud heart president bidens americanjobsplan,"['michigan', 'president', 'biden', 'declared', 'future', 'auto', 'industry', 'electriches', 'absolutely', 'rightmy', 'clean', 'cars', 'america', 'initiative', 'would', 'accelerate', 'transition', 'allclean', 'vehiclesim', 'proud', 'heart', 'president', 'bidens', 'americanjobsplan']",24,1218,7618
